,tag,is_np_part,is_after_StopWord,is_after_verb,is_before_StopWord,is_before_verb,np_index,tag_before,tag_after,is_after_StartStops,is_before_key_stop,token_tf,normalized_tfnum_set
521,3,0,0,0,0,0,-1,27,27,0,0,1,0.027777777777777776
522,27,0,0,0,0,0,-1,3,13,0,0,1,0.027777777777777776
523,13,0,0,0,1,0,-1,27,7,0,0,1,0.027777777777777776
524,7,0,0,0,0,0,-1,13,13,0,0,3,0.08333333333333333
525,13,0,1,0,1,0,-1,7,27,0,0,1,0.027777777777777776
526,27,0,0,0,1,0,-1,13,13,0,0,1,0.027777777777777776
527,13,0,1,0,1,0,-1,27,7,0,0,1,0.027777777777777776
528,7,0,1,0,0,0,-1,13,13,0,0,3,0.08333333333333333
529,13,0,1,0,1,0,-1,7,7,0,0,1,0.027777777777777776
530,7,0,0,0,0,0,-1,13,16,0,0,3,0.08333333333333333
531,16,1,1,0,0,0,1,7,16,0,0,1,0.027777777777777776
532,16,1,0,0,0,0,1,16,3,0,0,1,0.027777777777777776
533,3,1,0,0,0,0,1,16,27,0,0,1,0.027777777777777776
534,27,0,0,0,0,0,-1,3,14,0,0,1,0.027777777777777776
535,14,0,0,0,0,0,-1,27,16,0,0,1,0.027777777777777776
536,16,1,0,0,1,0,2,14,3,0,0,1,0.027777777777777776
537,3,1,0,0,1,0,2,16,7,0,0,1,0.027777777777777776
538,7,0,1,0,0,0,-1,3,1,0,0,2,0.05555555555555555
539,1,0,1,0,0,0,-1,7,3,0,0,1,0.027777777777777776
540,3,0,0,0,0,0,-1,1,27,0,0,1,0.027777777777777776
541,27,0,0,0,0,0,-1,3,0,0,0,1,0.027777777777777776
542,1,0,0,0,1,0,-1,0,9,0,0,1,0.024390243902439025
543,9,0,1,0,1,0,-1,1,17,0,0,1,0.024390243902439025
544,17,0,1,0,0,0,-1,9,13,0,0,4,0.0975609756097561
545,13,0,1,0,1,0,-1,17,17,0,0,1,0.024390243902439025
546,17,0,0,0,1,0,-1,13,20,0,0,4,0.0975609756097561
547,20,0,1,0,1,0,-1,17,7,0,0,1,0.024390243902439025
548,7,0,1,0,0,0,-1,20,16,1,0,1,0.024390243902439025
549,16,1,1,0,0,0,0,7,16,0,0,1,0.024390243902439025
550,16,1,0,0,1,0,0,16,4,0,0,3,0.07317073170731707
551,4,1,0,0,0,0,0,16,16,0,0,1,0.024390243902439025
552,16,1,1,0,0,0,1,4,4,0,0,2,0.04878048780487805
553,4,1,0,0,0,0,1,16,13,0,0,1,0.024390243902439025
554,13,1,0,0,0,0,1,4,3,0,0,2,0.04878048780487805
555,3,0,0,0,0,0,-1,13,27,0,0,1,0.024390243902439025
556,27,0,0,0,0,0,-1,3,13,0,0,1,0.024390243902439025
557,13,0,0,0,1,0,-1,27,27,0,0,1,0.024390243902439025
558,27,0,0,0,0,0,-1,13,22,0,0,1,0.024390243902439025
559,22,0,1,0,1,0,-1,27,7,0,0,1,0.024390243902439025
560,7,0,0,0,1,0,-1,22,9,0,0,1,0.024390243902439025
561,9,0,1,0,1,0,-1,7,17,0,0,1,0.024390243902439025
562,17,0,1,0,0,0,-1,9,13,0,0,4,0.0975609756097561
563,13,0,1,0,1,1,-1,17,17,0,0,1,0.024390243902439025
564,17,0,0,0,1,0,-1,13,16,0,0,1,0.024390243902439025
565,16,1,1,1,0,1,2,17,16,0,0,1,0.024390243902439025
566,16,1,1,0,0,0,2,16,13,1,0,1,0.024390243902439025
567,13,1,0,1,1,0,2,16,13,0,0,1,0.024390243902439025
568,13,0,0,0,1,0,-1,13,17,0,0,1,0.024390243902439025
569,17,0,1,0,0,0,-1,13,16,0,0,1,0.024390243902439025
570,16,1,1,0,0,0,3,17,4,1,0,1,0.024390243902439025
571,4,1,0,0,0,0,3,16,16,0,0,1,0.024390243902439025
572,16,1,0,0,0,0,0,4,20,0,0,3,0.07317073170731707
573,20,0,0,0,0,0,-1,16,13,0,0,1,0.024390243902439025
574,13,0,0,0,1,0,-1,20,17,0,0,1,0.024390243902439025
575,17,0,0,0,1,0,-1,13,1,0,0,4,0.0975609756097561
576,1,0,1,0,0,0,-1,17,27,0,0,1,0.024390243902439025
577,27,0,1,0,0,0,-1,1,22,0,0,1,0.024390243902439025
578,22,0,0,0,0,0,-1,27,16,0,0,1,0.024390243902439025
579,16,1,0,0,0,0,0,22,4,0,0,3,0.07317073170731707
580,4,1,0,0,0,0,5,16,16,0,0,1,0.024390243902439025
581,16,1,0,0,0,0,1,4,13,0,0,2,0.04878048780487805
582,13,1,0,0,0,0,1,16,0,0,0,2,0.04878048780487805
583,16,1,0,0,0,0,0,0,14,0,0,1,0.1
584,14,0,0,0,0,0,-1,16,16,0,0,2,0.2
585,16,1,0,0,0,0,1,14,13,0,0,1,0.1
586,13,1,0,0,1,0,1,16,27,0,0,1,0.1
587,27,0,0,0,0,0,-1,13,14,0,0,1,0.1
588,14,0,1,0,0,0,-1,27,13,0,0,2,0.2
589,13,0,0,0,0,0,-1,14,22,0,0,2,0.2
590,22,0,0,0,0,0,-1,13,27,0,0,2,0.2
591,27,0,0,0,0,0,-1,22,22,0,0,2,0.2
592,22,0,0,0,0,0,-1,27,0,0,0,2,0.2
593,9,0,0,0,0,0,-1,0,16,0,0,1,0.0625
594,16,1,1,0,0,0,0,9,16,1,0,1,0.0625
595,16,1,0,0,0,0,0,16,3,0,0,2,0.125
596,3,1,0,0,0,0,0,16,22,0,0,1,0.0625
597,22,0,0,0,0,0,-1,3,16,0,0,1,0.0625
598,16,1,0,0,1,0,1,22,16,0,0,1,0.0625
599,16,1,0,0,0,0,1,16,16,0,0,1,0.0625
600,16,1,1,0,0,0,1,16,16,0,0,1,0.0625
601,16,1,0,0,0,0,1,16,16,0,0,1,0.0625
602,16,1,0,0,0,0,1,16,16,0,0,1,0.0625
603,16,1,0,0,0,0,1,16,16,0,0,1,0.0625
604,16,1,0,0,0,0,1,16,16,0,0,1,0.0625
605,16,1,0,0,0,0,0,16,4,0,0,2,0.125
606,4,1,0,0,0,0,1,16,16,0,0,1,0.0625
607,16,1,0,0,0,0,2,4,13,0,0,1,0.0625
608,13,1,0,0,0,0,2,16,0,0,0,1,0.0625
609,17,0,0,0,0,0,-1,0,13,0,0,1,0.010638297872340425
610,13,0,1,0,1,0,-1,17,9,1,0,1,0.010638297872340425
611,9,0,0,0,0,0,-1,13,13,0,0,1,0.010638297872340425
612,13,0,1,0,0,0,-1,9,27,0,0,1,0.010638297872340425
613,27,0,0,0,1,0,-1,13,16,0,0,1,0.010638297872340425
614,16,1,0,0,0,0,0,27,13,0,0,1,0.010638297872340425
615,13,1,1,0,0,0,0,16,27,0,0,1,0.010638297872340425
616,27,0,0,0,0,0,-1,13,24,0,0,1,0.010638297872340425
617,24,0,0,0,0,0,-1,27,13,0,0,1,0.010638297872340425
618,13,0,0,0,1,0,-1,24,7,0,0,1,0.010638297872340425
619,7,0,0,0,0,0,-1,13,16,0,0,2,0.02127659574468085
620,16,1,1,0,0,0,1,7,3,0,0,1,0.010638297872340425
